Age,Experience,Difficult_Area_Experience,Underprivileged_Experience,Administrative_Career_Decision,Progress_Outlook,School_Underprivileged,Student_Racial_Diversity,Student_Economical_Diversity,Student_Potential,Student_Gaps,Privileged_School_Potential,Privileged_Family_Potential,Most_Positive_Attitude,Current_Attitude,Student_Engagement,Student_Interference,Student_Social_Context,Student_Financial_Context,Student_Appreciation,Parent_Presence,Parent_Interest,Parent_Response,Working_Hours,Salary,Vacation_Days,Training,Transfers,School_Administration,Ministry_Administration,Performance_Training,Performance_Transfers,Performance_School_Administration,Performance_Ministry_Administration,Respectful_Parents,Respectful_School_Admins,Respectful_Ministry_Workers,Respectful_Financial_Workers,Respectful_Society,More_Respectful_Parents,More_Respectful_School_Admins,More_Respectful_Ministry_Workers,More_Respectful_Financial_Workers,More_Respectful_Society
47,23,,15,1,1,0,1,1,1,1,0,1,2,2,2,2,2,1,3,3,3,2,5,1,4,3,,3,3,,,,,,,,,,4,4,3,4,4
31,5,0,5,,1,1,1,1,1,1,0,1,3,3,3,3,3,4,4,4,4,2,5,1,4,5,2,3,3,5,3,3,3,3,3,1,3,5,3,3,3,3,4
50,26,0,26,0,0,1,1,1,1,1,1,1,2,3,3,2,,3,3,3,4,3,,1,3,3,1,3,2,3,1,3,1,3,3,1,3,3,3,3,3,3,3
55,30,4,30,0,0,1,1,1,0,1,0,1,3,3,2,3,2,1,3,3,3,2,5,3,3,3,4,4,3,4,3,5,3,3,4,1,2,4,4,4,3,3,4
24,0.58,0,0,0,1,1,1,1,1,1,1,1,4,4,3,3,3,3,3,2,3,2,4,3,3,4,3,4,3,4,3,4,3,3,4,4,4,5,5,5,5,4,5
47,9,0,9,0,1,0,1,1,1,1,1,1,3,3,4,,2,4,5,3,3,3,5,2,3,4,2,3,3,4,5,5,5,4,4,4,4,4,4,4,4,4,4
33,5,0,5,1,1,1,1,1,1,1,0,1,3,4,2,4,2,4,3,3,2,2,5,1,3,3,3,4,2,4,1,3,2,4,3,2,4,3,3,3,2,4,3
36,5,0,5,0,1,1,1,1,1,1,1,1,3,2,4,4,4,2,4,4,4,4,3,1,3,3,3,3,2,4,3,3,3,3,4,2,2,2,4,2,2,2,4
29,6,0,6,0,1,1,1,1,1,1,1,1,4,4,5,4,4,4,3,5,5,5,4,4,2,4,2,3,2,4,2,2,2,5,3,3,3,3,4,4,3,3,4
35,7,0,7,1,0,1,1,1,1,1,1,1,3,2,3,2,4,4,3,3,3,3,4,1,4,1,1,2,3,4,4,4,3,4,3,2,4,4,5,4,4,4,5
54,34,0,9,0,1,1,1,1,1,1,0,1,5,2,3,3,3,3,3,3,3,2,5,5,5,5,5,3,3,4,3,3,3,5,3,3,5,5,5,3,3,5,5
43,13,0,13,1,1,1,1,1,1,1,1,1,4,5,5,3,3,3,3,5,5,5,2,3,2,2,4,5,5,5,4,5,5,5,5,4,4,5,5,5,4,3,5
48,29,3,,0,1,1,1,1,0,1,1,1,4,4,3,5,4,5,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,1,3,3,3
54,34,3,17,0,0,1,1,1,0,1,1,1,4,4,3,3,4,4,5,4,4,4,3,3,3,3,2,3,3,4,1,2,2,4,4,3,3,4,4,4,4,3,4
43,12,0,0,0,1,0,1,1,1,1,1,1,3,3,2,3,3,2,4,1,2,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4
34,5,0,0,0,1,1,1,1,1,1,0,1,3,4,5,3,3,5,4,4,4,4,4,3,3,4,2,4,4,4,3,3,4,,,,,,3,3,3,3,3
32,5,0,0,0,1,1,1,1,1,1,0,1,3,3,5,3,3,5,5,4,4,4,4,3,3,4,2,4,4,4,3,3,3,4,3,3,3,4,3,3,3,3,3
42,5,0,5,0,1,1,1,1,0,1,0,1,3,3,2,3,4,2,3,3,2,3,3,1,1,1,1,4,2,3,3,3,3,5,3,1,4,5,3,3,4,3,4
32,5,0,5,0,1,1,1,1,0,1,0,1,3,3,2,3,4,2,3,3,2,2,3,1,1,3,3,3,3,3,3,3,3,5,3,1,4,5,3,4,4,4,5
57,39,5,5,0,1,0,1,1,1,1,0,1,3,3,5,2,3,3,3,3,5,4,3,1,3,3,3,3,3,5,3,4,3,3,3,3,3,5,3,3,3,3,4
36,9,0,9,1,1,0,1,1,1,1,0,1,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,4,3,4,4,4,4,4,4,4,4,4
45,7,0,7,1,,1,1,1,1,1,0,1,,,3,3,3,4,2,2,2,2,4,4,4,5,3,3,3,5,3,3,4,3,3,3,3,3,4,4,4,2,2
30,4,0,4,1,0,1,1,0,0,1,0,1,2,3,3,2,3,3,3,3,3,2,2,2,2,5,4,1,3,,,,,,,,,,,,,,
50,26,10,10,0,1,1,1,1,0,1,1,1,3,4,2,2,2,1,3,2,2,2,4,3,3,3,2,3,3,3,3,3,3,3,3,3,2,4,2,3,2,3,2
39,14,6,9,0,0,0,1,1,1,1,0,1,2,2,3,2,3,3,3,2,2,2,3,2,3,3,2,3,3,3,3,3,3,4,2,2,3,4,3,3,3,3,3
42,13,0,0,0,0,0,1,1,1,1,0,1,2,2,3,2,3,3,3,2,2,2,3,2,3,3,2,3,3,3,3,3,3,4,2,2,3,4,3,3,3,3,3
37,7,0,0,1,1,1,1,1,1,1,0,1,5,4,2,2,3,3,5,3,3,3,5,2,3,3,3,4,4,4,3,4,4,5,5,3,4,5,5,5,5,5,5
44,20,0,20,1,1,1,1,1,1,1,1,1,5,4,5,1,3,3,5,5,5,5,5,2,3,4,3,4,4,4,3,4,4,5,5,3,3,4,5,5,5,5,5
40,7,0,0,0,,0,1,1,1,1,0,1,3,3,2,3,2,2,3,2,2,1,3,3,3,2,2,3,2,3,2,3,2,3,4,3,3,3,3,4,3,3,3
30,5,,,0,1,0,1,1,1,1,1,0,4,4,4,3,3,3,4,4,3,3,1,2,2,3,3,4,3,4,4,4,3,3,3,3,3,3,4,4,3,3,3
34,4,4,4,1,1,1,1,1,1,1,0,0,4,4,3,3,4,4,4,2,2,3,2,4,2,4,2,3,4,2,3,3,5,3,2,1,3,4,2,4,5,4,5
29,4,,,1,1,0,1,1,1,1,1,1,3,2,2,2,3,3,2,3,2,3,1,1,1,1,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,3,3
30,8,0,0,1,1,0,1,1,1,1,1,1,3,3,3,2,3,3,4,3,3,3,3,2,3,3,2,2,2,2,2,2,2,3,3,2,2,2,3,2,2,2,2
