"Test","Proportion","Std.Error","Confidence Interval","p-value"
"Eval Progress Outlook","0.774193548387097","0.0758507279959532","[ 0.625529 , 0.922858 ]","0.0009466352"
"Eval Student Potential","0.787878787878788","0.0742294385699743","[ 0.642392 , 0.933366 ]","0.0004550642"
"Eval Privileged School Potential","0.454545454545455","0.0862358090345715","[ 0.285526 , 0.623565 ]","0.3037115"
"Eval Privileged Family Potential","0.939393939393939","0.0414715205028259","[ 0.858111 , 1.020677 ]","0.00000008687376"
"Eval Most Positive Attitude","3.3125","0.152200091961184","[ 3.014193 , 3.610807 ]","1.856511e-221"
"Eval Current Attitude","3.27272727272727","0.150834150720811","[ 2.977098 , 3.568357 ]","1.610579e-211"
"Eval School Underprivileged","0.666666666666667","0.0830949443922894","[ 0.503804 , 0.82953 ]","0.0278955"
"Eval Student Racial Diversity","1","0","[ 1 , 1 ]","0.000000001562893"
"Eval Student Economical Diversity","0.96969696969697","0.0290955945863184","[ 0.912671 , 1.026723 ]","0.0000000129454"
"Eval Student Gaps","1","0","[ 1 , 1 ]","0.000000005530017"
